issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
1175,Improvement,Resolved,Fixed,W,Major,Person 584,2007/11/21 10:58:01 +0100,2007/11/21 11:53:04 +0100,Person 529,2012/04/16 18:06:35 +0100
1176,Bug,Resolved,Fixed,W-extensions,Minor,Person 532,2007/11/21 12:59:03 +0100,2007/11/21 12:59:03 +0100,Person 532,2007/11/21 12:59:15 +0100
1186,Bug,Resolved,Fixed,W,Major,Person 611,2007/11/26 17:19:35 +0100,2007/11/27 02:55:20 +0100,Person 557,2007/11/28 00:24:48 +0100
1193,Improvement,Closed,Fixed,,Minor,Person 612,2007/11/30 06:23:07 +0100,2007/11/30 13:41:50 +0100,Person 524,2008/01/05 15:05:52 +0100
1198,Bug,Closed,Fixed,W,Major,Person 528,2007/12/02 22:18:48 +0100,2007/12/02 22:18:48 +0100,Person 528,2007/12/02 22:19:23 +0100
1199,Bug,Resolved,Fixed,W,Critical,Person 571,2007/12/02 22:58:50 +0100,null,Unassigned,2007/12/02 23:32:56 +0100
1204,Improvement,Resolved,Fixed,W,Major,Person 610,2007/12/03 23:37:07 +0100,2007/12/11 06:06:22 +0100,Person 529,2007/12/11 06:06:22 +0100
1208,Improvement,Resolved,Fixed,W-datetime,Major,Person 571,2007/12/06 03:17:37 +0100,null,Unassigned,2007/12/15 02:15:47 +0100
1215,Improvement,Resolved,Fixed,W,Major,Person 528,2007/12/09 22:59:41 +0100,2010/10/24 16:03:28 +0100,Person 572,2010/10/24 16:07:14 +0100
1229,Bug,Resolved,Fixed,W,Major,Person 613,2007/12/14 19:24:36 +0100,2007/12/15 19:41:30 +0100,Person 529,2007/12/15 19:41:30 +0100
1230,Bug,Closed,Fixed,W,Critical,Person 614,2007/12/15 22:16:22 +0100,2007/12/16 18:47:23 +0100,Person 536,2007/12/16 18:47:23 +0100
1239,Bug,Resolved,Fixed,W-extensions,Major,Person 615,2007/12/21 14:46:32 +0100,2008/01/31 09:14:34 +0100,Unassigned,2008/02/02 21:52:24 +0100
1264,Bug,Resolved,Fixed,,Minor,Person 614,2008/01/07 11:30:35 +0100,2008/01/07 21:19:30 +0100,Unassigned,2008/01/07 21:19:30 +0100
